hw_sg, hw_of, hw_ow, hw_sfs, hw_sgf, wr_sg, wr_of, wr_ow, wr_sfs, wr_sgf
446,1016,1007,976,450,448,933,919,1016,447
450,1016,1007,976,456,457,933,919,1021,457
456,1016,1007,976,457,458,933,919,1021,457
458,1017,1008,976,459,463,933,919,1025,459
460,1017,1008,979,461,463,933,920,1026,461
461,1020,1008,980,464,472,933,922,1028,472
461,1020,1009,980,466,474,935,923,1028,473
466,1021,1009,980,472,479,936,923,1029,475
471,1022,1010,981,472,479,937,923,1029,477
474,1022,1011,982,477,484,940,924,1029,488
476,1023,1012,982,479,488,940,924,1029,490
477,1024,1013,982,482,489,941,925,1029,493
477,1024,1014,983,484,495,944,927,1030,496
482,1025,1014,984,488,504,945,927,1031,503
487,1025,1014,984,488,505,945,927,1032,506
489,1026,1014,985,495,505,946,927,1044,506
492,1026,1014,985,498,511,946,928,1046,508
494,1027,1015,986,498,539,949,929,1047,524
498,1028,1015,986,503,543,949,930,1049,531
498,1028,1016,987,504,563,949,931,1054,555
503,1028,1016,987,508,564,950,931,1054,562
507,1030,1017,987,514,564,951,931,1056,565
510,1030,1018,987,516,570,951,931,1057,565
510,1031,1018,988,519,586,951,932,1065,583
514,1032,1018,988,519,598,953,932,1066,590
518,1033,1018,988,519,602,953,933,1067,616
519,1034,1019,989,530,622,954,934,1067,621
523,1035,1019,991,533,623,955,935,1068,624
526,1035,1019,992,535,623,955,935,1068,624
530,1036,1021,992,535,646,956,935,1069,643
531,1036,1022,992,537,657,956,936,1073,649
534,1036,1022,993,544,661,957,936,1075,675
538,1037,1026,993,546,681,957,936,1077,680
542,1037,1026,996,551,681,958,937,1078,683
545,1040,1027,996,551,682,961,937,1079,683
545,1042,1029,997,558,705,962,938,1079,702
549,1043,1030,998,558,716,962,938,1085,708
552,1044,1030,999,562,720,963,939,1086,735
554,1044,1030,999,567,740,965,939,1088,738
558,1045,1031,1000,567,740,965,940,1093,742
562,1045,1032,1000,569,741,969,940,1094,743
566,1046,1034,1000,578,764,969,942,1095,761
570,1046,1034,1000,579,775,970,943,1095,767
570,1047,1034,1003,582,779,973,943,1099,795
573,1052,1035,1003,582,799,974,943,1100,797
574,1052,1035,1004,594,800,975,943,1101,801
577,1054,1035,1004,598,800,976,944,1102,802
585,1056,1035,1004,601,823,977,944,1103,820
590,1058,1035,1005,601,834,981,947,1116,826
593,1059,1036,1005,607,836,981,947,1117,830
594,1060,1037,1005,610,837,982,947,1118,833
601,1060,1038,1006,610,837,983,948,1125,835
601,1060,1038,1006,614,838,984,948,1128,837
606,1061,1038,1008,626,839,989,949,1129,841
608,1061,1038,1009,626,840,990,950,1136,849
617,1062,1038,1011,632,840,990,950,1144,850
618,1063,1038,1011,635,841,992,951,1191,852
619,1063,1039,1012,642,842,992,951,1193,853
622,1064,1039,1012,643,843,993,951,1205,854
637,1064,1039,1012,650,851,996,952,1208,855
638,1065,1039,1013,652,852,997,953,1212,856
643,1067,1041,1014,657,852,997,954,1214,860
644,1071,1042,1014,659,853,998,954,1224,861
644,1071,1042,1014,668,853,999,955,1224,865
650,1071,1042,1015,675,854,1002,955,1228,866
662,1075,1044,1015,682,854,1004,955,1249,868
663,1076,1045,1016,684,855,1008,958,1261,873
669,1077,1046,1017,685,858,1009,959,1265,877
676,1078,1046,1017,693,859,1010,959,1273,879
688,1080,1046,1019,694,860,1013,960,1285,880
688,1084,1046,1021,700,860,1016,960,1285,881
689,1084,1046,1023,707,860,1017,962,1286,884
692,1085,1048,1023,709,863,1020,963,1287,885
694,1085,1049,1024,725,867,1020,964,1358,885
708,1092,1050,1024,732,871,1024,970,1362,886
713,1092,1050,1024,734,875,1032,971,1401,887
719,1092,1051,1025,763,875,1567,1662,1432,888
738,1095,1051,1025,767,876,1570,1669,1436,889
751,1096,1051,1025,775,876,1572,1672,1463,889
762,1096,1052,1026,780,877,1574,1684,1475,889
778,1097,1052,1031,781,883,1589,1688,1479,890
778,1098,1054,1031,796,883,1591,1692,1490,890
781,1104,1054,1031,808,883,1593,1696,1491,893
793,1105,1055,1031,816,891,1594,1699,1492,896
807,1106,1055,1032,838,892,1598,1704,1504,897
819,1108,1056,1033,861,892,1604,1704,1505,897
836,1111,1056,1034,866,893,1610,1711,1508,901
865,1112,1056,1035,869,896,1618,1714,1511,902
866,1112,1058,1035,895,903,1618,1715,1515,903
867,1113,1058,1035,909,904,1619,1719,1518,904
894,1114,1059,1035,913,904,1628,1720,1524,908
910,1114,1060,1036,913,904,1629,1727,1525,909
911,1115,1060,1036,914,904,1629,1734,1527,912
916,1116,1061,1037,916,905,1631,1736,1528,913
916,1119,1061,1037,916,905,1632,1736,1531,913
917,1120,1061,1038,921,906,1636,1741,1544,914
918,1120,1062,1040,925,906,1636,1742,1546,915
919,1121,1062,1040,925,907,1637,1743,1551,919
920,1124,1062,1040,926,915,1650,1752,1552,920
920,1124,1062,1040,926,915,1660,1752,1555,925
920,1130,1063,1041,927,917,1660,1762,1558,926
921,1131,1063,1042,927,919,1704,1770,1560,928
924,1132,1063,1043,927,923,1708,1772,1561,929
927,1140,1066,1044,928,923,1720,1772,1562,929
928,1140,1066,1052,928,923,1724,1772,1562,930
929,1140,1066,1055,932,923,1733,1773,1563,933
929,1141,1072,1062,938,924,1735,1779,1563,934
929,1142,1078,1063,947,924,1735,1782,1563,935
930,1143,1078,1067,948,924,1740,1784,1568,936
940,1143,1086,1075,948,924,1745,1791,1580,937
940,1144,1087,1077,949,925,1751,1794,1584,938
943,1145,1088,1095,950,925,1752,1797,1609,938
947,1151,1096,1097,950,925,1752,1805,1652,939
948,1152,1097,1106,953,925,1754,1816,1671,939
950,1153,1127,1113,954,927,1755,1824,1676,939
950,1153,1131,1117,956,928,1763,1825,1690,940
951,1154,1131,1117,957,928,1766,1826,1691,940
953,1154,1136,1125,957,929,1778,1827,1694,941
957,1156,1138,1126,958,942,1778,1828,1696,944
957,1156,1147,1137,961,943,1780,1835,1702,945
958,1157,1153,1137,961,952,1782,1837,1709,956
958,1157,1159,1143,968,955,1783,1840,1712,973
963,1159,1161,1146,968,976,1787,1842,1713,974
964,1173,1164,1146,969,978,1789,1843,1714,978
964,1174,1167,1146,969,982,1789,1851,1716,1028
971,1177,1167,1148,970,1001,1797,1851,1730,1046
972,1178,1171,1149,970,1010,1799,1851,1733,1051
972,1184,1172,1156,970,1013,1800,1853,1746,1082
975,1185,1181,1158,971,1041,1806,1854,1759,1083
980,1185,1183,1159,976,1041,1807,1855,1763,1092
983,1191,1187,1167,977,1060,1809,1856,1776,1105
984,1192,1187,1169,981,1077,1817,1859,1778,1109
984,1197,1200,1180,985,1118,1818,1860,1781,1143
987,1217,1202,1183,986,1135,1828,1867,1782,1164
991,1219,1205,1186,988,1178,1832,1868,1784,1203
992,1229,1208,1189,989,1194,1836,1870,1786,1229
992,1237,1210,1194,992,1215,1848,1875,1788,1263
993,1238,1215,1211,993,1243,2043,1876,1791,1285
994,1249,1231,1221,997,1248,2058,1908,1794,1297
999,1257,1235,1224,1000,1252,2066,1932,1799,1310
999,1273,1250,1229,1001,1274,2085,1933,1800,1322
1007,1273,1265,1239,1002,1321,2086,1933,1805,1369
1008,1277,1270,1243,1002,1383,2087,1942,1806,1431
1008,1279,1280,1243,1004,1498,2088,1943,1808,1488
1009,1289,1315,1303,1006,1499,2088,1944,1818,1500
1010,1303,1366,1372,1012,1524,2089,1947,1821,1513
1015,1306,1369,1375,1013,1529,2090,1954,1825,1526
1016,1447,1443,1394,1020,1577,2091,1956,1826,1589
1017,1485,1483,1420,1021,1599,2096,1962,1881,1633
1019,1495,1485,1434,1022,1610,2100,1963,2020,1652
1024,1511,1485,1446,1023,1614,2101,1963,2085,1655
1024,1532,1487,1466,1031,1618,2108,1964,2149,1666
1025,1538,1504,1475,1037,1622,2111,1971,2198,1669
1026,1546,1508,1515,1041,1636,2120,1979,2218,1674
1030,1546,1528,1546,1045,1639,2120,1985,2219,1681
1040,1552,1552,1557,1046,1647,2128,1998,2226,1690
1040,1556,1580,1560,1046,1647,2131,1999,2228,1693
1041,1561,1590,1566,1048,1651,2160,2000,2233,1701
1045,1610,1590,1576,1062,1667,2173,2001,2238,1702
1048,1628,1603,1578,1101,1701,2173,2007,2242,1704
1089,1637,1617,1605,1118,1701,2174,2007,2249,1708
1109,1649,1618,1635,1127,1729,2196,2018,2257,1719
1110,1827,1675,1675,1129,1736,2450,2861,2259,1730
1118,1828,1986,1981,1142,1767,2455,2863,2261,1764
1122,1848,2025,2035,1145,1775,2460,2868,2271,1768
1125,2173,2032,2042,1150,1779,2461,2871,2271,1784
1131,2206,2039,2074,1151,1787,2465,2872,2276,1792
1137,2210,2047,2076,1152,1798,2467,2873,2278,1795
1145,2213,2133,2087,1170,1802,2468,2874,2279,1799
1154,2228,2206,2153,1172,1806,2475,2874,2282,1806
1161,2236,2221,2161,1176,1808,2480,2874,2371,1810
1168,2237,2222,2184,1180,1816,2484,2874,2576,1811
1176,2320,2356,2344,1180,1818,2486,2875,2720,1812
1184,2340,2367,2358,1186,1819,2738,2876,2731,1814
1189,2368,2384,2424,1214,1820,2742,2896,2738,1821
1209,2477,2458,2442,1249,1821,2743,2908,2741,1825
1245,2478,2477,2461,1260,1821,2745,2911,2741,1828
1250,2493,2501,2498,1277,1827,2752,3002,2743,1828
1262,2499,2525,2510,1278,1839,2752,3009,2744,1835
1270,2517,2527,2528,1302,1839,2753,3010,2744,1836
1307,2529,2534,2544,1307,1904,2754,3019,2781,1895
1316,2550,2572,2549,1379,1905,2794,3019,2782,1907
1380,2567,2576,2552,1391,1931,2798,3022,2797,1920
1383,2572,2576,2557,1403,1937,2799,3022,2820,1935
1392,2573,2583,2568,1407,1981,2801,3023,2829,2044
1398,2576,2587,2576,1410,2042,2801,3035,2837,2086
1400,2588,2589,2593,1425,2109,2802,3337,2837,2146
1436,2589,2592,2600,1434,2126,2819,3340,2837,2160
1438,2661,2598,2600,1436,2133,3540,3345,2859,2189
1498,2704,2607,2601,1510,2140,3542,3349,2877,2192
1513,2726,2614,2669,1522,2185,3544,3353,2883,2248
1513,2729,2669,2681,1531,2246,3547,3356,2885,2289
1514,2732,2683,2692,1539,2310,3549,3360,2889,2350
1522,2745,2691,2692,1542,2331,3549,3362,2902,2363
1522,2748,2699,2695,1554,2340,3555,3364,2906,2390
1524,2752,2700,2698,1568,2342,3557,3365,2907,2394
1531,2752,2740,2707,1573,2435,3559,3367,2913,2451
1569,2752,2749,2725,1637,2498,3559,3475,2914,2509
1648,2754,2769,2731,1652,2579,3560,3477,2914,2562
1653,2756,3033,3024,1655,2581,3561,3481,2914,2566
1654,2760,3062,3026,1675,2589,3895,3482,2931,2594
1662,2764,3074,3054,1698,2592,3908,3483,2941,2596
1662,2765,3081,3063,1702,2639,3911,3485,2942,2655
1698,2865,3081,3071,1713,2702,3915,3486,2945,2714
1717,2871,3084,3081,1784,2781,3919,3487,2949,2766
1784,2872,3088,3087,1841,2782,3922,3489,2950,2768
1829,2873,3088,3090,1870,2793,3925,3489,2953,2796
1857,2880,3089,3098,1880,2797,3935,3489,3001,2800
1865,2887,3091,3100,1901,2801,3936,3490,3016,2819
1867,2939,3094,3104,1915,2803,3938,3522,3032,2822
1919,2949,3097,3106,1916,2803,3940,3541,3203,2824
1927,2958,3101,3116,2019,2805,3940,3550,3290,2824
2021,2959,3102,3116,2094,2806,3941,3553,3306,2827
2082,2964,3121,3150,2095,2809,3942,3554,3318,2828
2107,2971,3123,3161,2121,2809,3943,3557,3321,2828
2111,2972,3172,3163,2137,2810,3954,3557,3370,2830
2117,3086,3181,3164,2168,2810,4092,3559,3371,2830
2122,3093,3191,3176,2173,2811,4095,3560,3378,2832
2173,3097,3199,3176,2298,2812,4098,3564,3381,2837
2284,3102,3214,3180,2299,2814,4101,3566,3383,2841
2311,3108,3230,3181,2305,2819,4103,3567,3385,2843
2321,3154,3232,3186,2323,2824,4105,3568,3389,2844
2330,3161,3232,3206,2345,2826,4106,3570,3392,2844
2332,3176,3265,3256,2347,2842,4109,3570,3394,2861
2337,3181,3268,3265,2369,2923,4110,3571,3395,2917
2342,3211,3273,3266,2371,2983,4115,3572,3396,2970
2368,3218,3274,3267,2384,2985,4116,3572,3410,3043
2375,3220,3275,3275,2501,2995,4116,3572,3414,3047
2488,3223,3319,3337,2507,3001,4116,3573,3417,3057
